city,province,country,latitude,longitude,postal_prefix,search_key,region_code,is_capital,is_major_market,population_hint,timezone
Aklavik,Northwest Territories,CA,,,,aklavik,NT,false,false,,America/Yellowknife
Alameda,Saskatchewan,CA,,,,alameda,SK,false,false,,America/Regina
Alban,Ontario,CA,,,,alban,ON,false,false,,America/Toronto
Albanel,Quebec,CA,,,,albanel,QC,false,false,,America/Montreal
Albert,New Brunswick,CA,,,,albert,NB,false,false,,America/Moncton
Albert Mines,New Brunswick,CA,,,,albertmines,NB,false,false,,America/Moncton
Alberta Beach,Alberta,CA,,,,albertabeach,AB,false,false,,America/Edmonton
Alberton,Prince Edward Island,CA,,,,alberton,PE,false,false,,America/Halifax
Alder Flats,Alberta,CA,,,,alderflats,AB,false,false,,America/Edmonton
Aldergrove,British Columbia,CA,,,,aldergrove,BC,false,false,,America/Vancouver
Alderville First Nation,Ontario,CA,,,,aldervillefirstnation,ON,false,false,,America/Toronto
Alert Bay,British Columbia,CA,,,,alertbay,BC,false,false,,America/Vancouver
Alexander,Manitoba,CA,,,,alexander,MB,false,false,,America/Winnipeg
Alexandria,Ontario,CA,,,,alexandria,ON,false,false,,America/Toronto
Alexis Creek,British Columbia,CA,,,,alexiscreek,BC,false,false,,America/Vancouver
Alfred,Ontario,CA,,,,alfred,ON,false,false,,America/Toronto
Algoma Mills,Ontario,CA,,,,algomamills,ON,false,false,,America/Toronto
Alida,Saskatchewan,CA,,,,alida,SK,false,false,,America/Regina
Alix,Alberta,CA,,,,alix,AB,false,false,,America/Edmonton
Alkali Lake,British Columbia,CA,,,,alkalilake,BC,false,false,,America/Vancouver
Allan,Saskatchewan,CA,,,,allan,SK,false,false,,America/Regina
Allardville,New Brunswick,CA,,,,allardville,NB,false,false,,America/Moncton
Alliance,Alberta,CA,,,,alliance,AB,false,false,,America/Edmonton
Alliston,Ontario,CA,,,,alliston,ON,false,false,,America/Toronto
Alma,New Brunswick,CA,,,,alma,NB,false,false,,America/Moncton
Alma,Quebec,CA,,,,alma,QC,false,false,,America/Montreal
Almonte,Ontario,CA,,,,almonte,ON,false,false,,America/Toronto
Alonsa,Manitoba,CA,,,,alonsa,MB,false,false,,America/Winnipeg
Alouette,Quebec,CA,,,,alouette,QC,false,false,,America/Montreal
Alsask,Saskatchewan,CA,,,,alsask,SK,false,false,,America/Regina
Altario,Alberta,CA,,,,altario,AB,false,false,,America/Edmonton
Altona,Manitoba,CA,,,,altona,MB,false,false,,America/Winnipeg
Alvena,Saskatchewan,CA,,,,alvena,SK,false,false,,America/Regina
Alvinston,Ontario,CA,,,,alvinston,ON,false,false,,America/Toronto
Amherst,Nova Scotia,CA,,,,amherst,NS,false,false,,America/Halifax
Amherstburg,Ontario,CA,,,,amherstburg,ON,false,false,,America/Toronto
Amos,Quebec,CA,,,,amos,QC,false,false,,America/Montreal
Amqui,Quebec,CA,,,,amqui,QC,false,false,,America/Montreal
Ancaster,Ontario,CA,,,,ancaster,ON,false,false,,America/Toronto
Andrew,Alberta,CA,,,,andrew,AB,false,false,,America/Edmonton
Aneroid,Saskatchewan,CA,,,,aneroid,SK,false,false,,America/Regina
Angliers,Quebec,CA,,,,angliers,QC,false,false,,America/Montreal
Angus,Ontario,CA,,,,angus,ON,false,false,,America/Toronto
Anjou,Quebec,CA,,,,anjou,QC,false,false,,America/Montreal
Annapolis Royal,Nova Scotia,CA,,,,annapolisroyal,NS,false,false,,America/Halifax
Anse-Saint-Jean,Quebec,CA,,,,ansesaintjean,QC,false,false,,America/Montreal
Antigonish,Nova Scotia,CA,,,,antigonish,NS,false,false,,America/Halifax
Anzac,Alberta,CA,,,,anzac,AB,false,false,,America/Edmonton
Appleton,Newfoundland,CA,,,,appleton,NL,false,false,,America/St_Johns
Apsley,Ontario,CA,,,,apsley,ON,false,false,,America/Toronto
Arborfield,Saskatchewan,CA,,,,arborfield,SK,false,false,,America/Regina
Arborg,Manitoba,CA,,,,arborg,MB,false,false,,America/Winnipeg
Archerwill,Saskatchewan,CA,,,,archerwill,SK,false,false,,America/Regina
Arcola,Saskatchewan,CA,,,,arcola,SK,false,false,,America/Regina
Arden,Ontario,CA,,,,arden,ON,false,false,,America/Toronto
Ardrossan,Alberta,CA,,,,ardrossan,AB,false,false,,America/Edmonton
Argentia,Newfoundland,CA,,,,argentia,NL,false,false,,America/St_Johns
Argyle,Nova Scotia,CA,,,,argyle,NS,false,false,,America/Halifax
Arichat,Nova Scotia,CA,,,,arichat,NS,false,false,,America/Halifax
Arkell,Ontario,CA,,,,arkell,ON,false,false,,America/Toronto
Arkona,Ontario,CA,,,,arkona,ON,false,false,,America/Toronto
Armagh,Quebec,CA,,,,armagh,QC,false,false,,America/Montreal
Armstrong,British Columbia,CA,,,,armstrong,BC,false,false,,America/Vancouver
Armstrong,Ontario,CA,,,,armstrong,ON,false,false,,America/Toronto
Arnold`s Cove,Newfoundland,CA,,,,arnoldscove,NL,false,false,,America/St_Johns
Arnprior,Ontario,CA,,,,arnprior,ON,false,false,,America/Toronto
Arrowwood,Alberta,CA,,,,arrowwood,AB,false,false,,America/Edmonton
Arthur,Ontario,CA,,,,arthur,ON,false,false,,America/Toronto
Arundel,Quebec,CA,,,,arundel,QC,false,false,,America/Montreal
Arviat,Nunavut,CA,,,,arviat,NU,false,false,,America/Iqaluit
Asbestos,Quebec,CA,,,,asbestos,QC,false,false,,America/Montreal
Ascot,Quebec,CA,,,,ascot,QC,false,false,,America/Montreal
Ascot Corner,Quebec,CA,,,,ascotcorner,QC,false,false,,America/Montreal
Ashcroft,British Columbia,CA,,,,ashcroft,BC,false,false,,America/Vancouver
Ashern,Manitoba,CA,,,,ashern,MB,false,false,,America/Winnipeg
Ashmont,Alberta,CA,,,,ashmont,AB,false,false,,America/Edmonton
Ashuapmushuan,Quebec,CA,,,,ashuapmushuan,QC,false,false,,America/Montreal
Asquith,Saskatchewan,CA,,,,asquith,SK,false,false,,America/Regina
Assiniboia,Saskatchewan,CA,,,,assiniboia,SK,false,false,,America/Regina
Assumption,Alberta,CA,,,,assumption,AB,false,false,,America/Edmonton
Aston-Jonction,Quebec,CA,,,,astonjonction,QC,false,false,,America/Montreal
Athabasca,Alberta,CA,,,,athabasca,AB,false,false,,America/Edmonton
Athens,Ontario,CA,,,,athens,ON,false,false,,America/Toronto
Atikokan,Ontario,CA,,,,atikokan,ON,false,false,,America/Toronto
Atlin,British Columbia,CA,,,,atlin,BC,false,false,,America/Vancouver
Attawapiskat,Ontario,CA,,,,attawapiskat,ON,false,false,,America/Toronto
Atwood,Ontario,CA,,,,atwood,ON,false,false,,America/Toronto
Auburn,Ontario,CA,,,,auburn,ON,false,false,,America/Toronto
Aurora,Ontario,CA,,,,aurora,ON,false,false,,America/Toronto
Austin,Manitoba,CA,,,,austin,MB,false,false,,America/Winnipeg
Avola,British Columbia,CA,,,,avola,BC,false,false,,America/Vancouver
Avondale,Newfoundland,CA,,,,avondale,NL,false,false,,America/St_Johns
Avonlea,Saskatchewan,CA,,,,avonlea,SK,false,false,,America/Regina
Avonmore,Ontario,CA,,,,avonmore,ON,false,false,,America/Toronto
Ayer`s Cliff,Quebec,CA,,,,ayerscliff,QC,false,false,,America/Montreal
Aylesford,Nova Scotia,CA,,,,aylesford,NS,false,false,,America/Halifax
Aylmer,Ontario,CA,,,,aylmer,ON,false,false,,America/Toronto
Aylmer,Quebec,CA,,,,aylmer,QC,false,false,,America/Montreal
Ayr,Ontario,CA,,,,ayr,ON,false,false,,America/Toronto
Ayton,Ontario,CA,,,,ayton,ON,false,false,,America/Toronto
Azilda,Ontario,CA,,,,azilda,ON,false,false,,America/Toronto
Baddeck,Nova Scotia,CA,,,,baddeck,NS,false,false,,America/Halifax
Baden,Ontario,CA,,,,baden,ON,false,false,,America/Toronto
Badger,Newfoundland,CA,,,,badger,NL,false,false,,America/St_Johns
Bagotville,Quebec,CA,,,,bagotville,QC,false,false,,America/Montreal
Baie Verte,Newfoundland,CA,,,,baieverte,NL,false,false,,America/St_Johns
Baie-Comeau,Quebec,CA,,,,baiecomeau,QC,false,false,,America/Montreal
Baie-de-Shawinigan,Quebec,CA,,,,baiedeshawinigan,QC,false,false,,America/Montreal
Baie-des-Sables,Quebec,CA,,,,baiedessables,QC,false,false,,America/Montreal
Baie-du-Febvre,Quebec,CA,,,,baiedufebvre,QC,false,false,,America/Montreal
Baie-d`Urfe,Quebec,CA,,,,baiedurfe,QC,false,false,,America/Montreal
Baie-Johan-Beetz,Quebec,CA,,,,baiejohanbeetz,QC,false,false,,America/Montreal
Baie-Sainte-Catherine,Quebec,CA,,,,baiesaintecatherine,QC,false,false,,America/Montreal
Baie-St-Paul,Quebec,CA,,,,baiestpaul,QC,false,false,,America/Montreal
Baie-Ste-Anne,New Brunswick,CA,,,,baiesteanne,NB,false,false,,America/Moncton
Baie-Trinite,Quebec,CA,,,,baietrinite,QC,false,false,,America/Montreal
Bailieboro,Ontario,CA,,,,bailieboro,ON,false,false,,America/Toronto
Baker Brook,New Brunswick,CA,,,,bakerbrook,NB,false,false,,America/Moncton
Baker Lake,Nunavut,CA,,,,bakerlake,NU,false,false,,America/Iqaluit
Bala,Ontario,CA,,,,bala,ON,false,false,,America/Toronto
Balcarres,Saskatchewan,CA,,,,balcarres,SK,false,false,,America/Regina
Baldur,Manitoba,CA,,,,baldur,MB,false,false,,America/Winnipeg
Balfour,British Columbia,CA,,,,balfour,BC,false,false,,America/Vancouver
Balgonie,Saskatchewan,CA,,,,balgonie,SK,false,false,,America/Regina
Balmertown,Ontario,CA,,,,balmertown,ON,false,false,,America/Toronto
Balmoral,New Brunswick,CA,,,,balmoral,NB,false,false,,America/Moncton
Baltimore,Ontario,CA,,,,baltimore,ON,false,false,,America/Toronto
Bamfield,British Columbia,CA,,,,bamfield,BC,false,false,,America/Vancouver
Bancroft,Ontario,CA,,,,bancroft,ON,false,false,,America/Toronto
Banff,Alberta,CA,,,,banff,AB,false,false,,America/Edmonton
Barachois,Quebec,CA,,,,barachois,QC,false,false,,America/Montreal
Barkmere,Quebec,CA,,,,barkmere,QC,false,false,,America/Montreal
Barons,Alberta,CA,,,,barons,AB,false,false,,America/Edmonton
Barraute,Quebec,CA,,,,barraute,QC,false,false,,America/Montreal
Barrhead,Alberta,CA,,,,barrhead,AB,false,false,,America/Edmonton
Barrie,Ontario,CA,,,,barrie,ON,false,true,,America/Toronto
Barriere,British Columbia,CA,,,,barriere,BC,false,false,,America/Vancouver
Barry`s Bay,Ontario,CA,,,,barrysbay,ON,false,false,,America/Toronto
Barwick,Ontario,CA,,,,barwick,ON,false,false,,America/Toronto
Bashaw,Alberta,CA,,,,bashaw,AB,false,false,,America/Edmonton
Bass River,Nova Scotia,CA,,,,bassriver,NS,false,false,,America/Halifax
Bassano,Alberta,CA,,,,bassano,AB,false,false,,America/Edmonton
Basswood,Manitoba,CA,,,,basswood,MB,false,false,,America/Winnipeg
Batawa,Ontario,CA,,,,batawa,ON,false,false,,America/Toronto
Batchawana Bay,Ontario,CA,,,,batchawanabay,ON,false,false,,America/Toronto
Bath,New Brunswick,CA,,,,bath,NB,false,false,,America/Moncton
Bath,Ontario,CA,,,,bath,ON,false,false,,America/Toronto
Bathurst,New Brunswick,CA,,,,bathurst,NB,false,false,,America/Moncton
Batiscan,Quebec,CA,,,,batiscan,QC,false,false,,America/Montreal
Batteau,Newfoundland,CA,,,,batteau,NL,false,false,,America/St_Johns
Battle Harbour,Newfoundland,CA,,,,battleharbour,NL,false,false,,America/St_Johns
Battleford,Saskatchewan,CA,,,,battleford,SK,false,false,,America/Regina
Bauline,Newfoundland,CA,,,,bauline,NL,false,false,,America/St_Johns
Bawlf,Alberta,CA,,,,bawlf,AB,false,false,,America/Edmonton
Bay Bulls,Newfoundland,CA,,,,baybulls,NL,false,false,,America/St_Johns
Bay de Verde,Newfoundland,CA,,,,baydeverde,NL,false,false,,America/St_Johns
Bay L`Argent,Newfoundland,CA,,,,baylargent,NL,false,false,,America/St_Johns
Bay Roberts,Newfoundland,CA,,,,bayroberts,NL,false,false,,America/St_Johns
Bayfield,Ontario,CA,,,,bayfield,ON,false,false,,America/Toronto
Baysville,Ontario,CA,,,,baysville,ON,false,false,,America/Toronto
Beach Grove,British Columbia,CA,,,,beachgrove,BC,false,false,,America/Vancouver
Beachburg,Ontario,CA,,,,beachburg,ON,false,false,,America/Toronto
Beachville,Ontario,CA,,,,beachville,ON,false,false,,America/Toronto
Beaconsfield,Quebec,CA,,,,beaconsfield,QC,false,false,,America/Montreal
Beamsville,Ontario,CA,,,,beamsville,ON,false,false,,America/Toronto
Bear Canyon,Alberta,CA,,,,bearcanyon,AB,false,false,,America/Edmonton
Bear Lake,British Columbia,CA,,,,bearlake,BC,false,false,,America/Vancouver
Bear River,Nova Scotia,CA,,,,bearriver,NS,false,false,,America/Halifax
Beardmore,Ontario,CA,,,,beardmore,ON,false,false,,America/Toronto
Bearskin Lake,Ontario,CA,,,,bearskinlake,ON,false,false,,America/Toronto
Bearskin Lake First Nation,Ontario,CA,,,,bearskinlakefirstnation,ON,false,false,,America/Toronto
Bear`s Passage,Ontario,CA,,,,bearspassage,ON,false,false,,America/Toronto
Beaucanton,Quebec,CA,,,,beaucanton,QC,false,false,,America/Montreal
Beauceville,Quebec,CA,,,,beauceville,QC,false,false,,America/Montreal
Beauharnois,Quebec,CA,,,,beauharnois,QC,false,false,,America/Montreal
Beaulac-Garthby,Quebec,CA,,,,beaulacgarthby,QC,false,false,,America/Montreal
Beaumont,Alberta,CA,,,,beaumont,AB,false,false,,America/Edmonton
Beaumont,Newfoundland,CA,,,,beaumont,NL,false,false,,America/St_Johns
Beaumont,Quebec,CA,,,,beaumont,QC,false,false,,America/Montreal
Beauport,Quebec,CA,,,,beauport,QC,false,false,,America/Montreal
Beaupre,Quebec,CA,,,,beaupre,QC,false,false,,America/Montreal
Beausejour,Manitoba,CA,,,,beausejour,MB,false,false,,America/Winnipeg
Beauval,Saskatchewan,CA,,,,beauval,SK,false,false,,America/Regina
Beaver Cove,British Columbia,CA,,,,beavercove,BC,false,false,,America/Vancouver
Beaver Creek,Yukon,CA,,,,beavercreek,YT,false,false,,America/Whitehorse
Beaverdell,British Columbia,CA,,,,beaverdell,BC,false,false,,America/Vancouver
Beaverlodge,Alberta,CA,,,,beaverlodge,AB,false,false,,America/Edmonton
Beaverton,Ontario,CA,,,,beaverton,ON,false,false,,America/Toronto
Becancour,Quebec,CA,,,,becancour,QC,false,false,,America/Montreal
Bedeque,Prince Edward Island,CA,,,,bedeque,PE,false,false,,America/Halifax
Bedford,Quebec,CA,,,,bedford,QC,false,false,,America/Montreal
Beechy,Saskatchewan,CA,,,,beechy,SK,false,false,,America/Regina
Beeton,Ontario,CA,,,,beeton,ON,false,false,,America/Toronto
Beiseker,Alberta,CA,,,,beiseker,AB,false,false,,America/Edmonton
Bell Island,Newfoundland,CA,,,,bellisland,NL,false,false,,America/St_Johns
Bella Bella,British Columbia,CA,,,,bellabella,BC,false,false,,America/Vancouver
Bella Coola,British Columbia,CA,,,,bellacoola,BC,false,false,,America/Vancouver
Belle Neige,Quebec,CA,,,,belleneige,QC,false,false,,America/Montreal
Belle River,Ontario,CA,,,,belleriver,ON,false,false,,America/Toronto
Belledune,New Brunswick,CA,,,,belledune,NB,false,false,,America/Moncton
Bellefeuille,Quebec,CA,,,,bellefeuille,QC,false,false,,America/Montreal
Belleoram,Newfoundland,CA,,,,belleoram,NL,false,false,,America/St_Johns
Belleterre,Quebec,CA,,,,belleterre,QC,false,false,,America/Montreal
Belleville,Ontario,CA,,,,belleville,ON,false,false,,America/Toronto
Bellevue,Newfoundland,CA,,,,bellevue,NL,false,false,,America/St_Johns
Belmont,Manitoba,CA,,,,belmont,MB,false,false,,America/Winnipeg
Belmont,Ontario,CA,,,,belmont,ON,false,false,,America/Toronto
Beloeil,Quebec,CA,,,,beloeil,QC,false,false,,America/Montreal
Bengough,Saskatchewan,CA,,,,bengough,SK,false,false,,America/Regina
Benito,Manitoba,CA,,,,benito,MB,false,false,,America/Winnipeg
Benoit`s Cove,Newfoundland,CA,,,,benoitscove,NL,false,false,,America/St_Johns
Bentley,Alberta,CA,,,,bentley,AB,false,false,,America/Edmonton
Berens River,Manitoba,CA,,,,berensriver,MB,false,false,,America/Winnipeg
Beresford,New Brunswick,CA,,,,beresford,NB,false,false,,America/Moncton
Bergeronnes,Quebec,CA,,,,bergeronnes,QC,false,false,,America/Montreal
Berthierville,Quebec,CA,,,,berthierville,QC,false,false,,America/Montreal
Berwick,Nova Scotia,CA,,,,berwick,NS,false,false,,America/Halifax
Berwyn,Alberta,CA,,,,berwyn,AB,false,false,,America/Edmonton
Bethany,Ontario,CA,,,,bethany,ON,false,false,,America/Toronto
Bethesda,Ontario,CA,,,,bethesda,ON,false,false,,America/Toronto
Bethune,Saskatchewan,CA,,,,bethune,SK,false,false,,America/Regina
Betsiamites,Quebec,CA,,,,betsiamites,QC,false,false,,America/Montreal
Beulah,Manitoba,CA,,,,beulah,MB,false,false,,America/Winnipeg
Biencourt,Quebec,CA,,,,biencourt,QC,false,false,,America/Montreal
Bienfait,Saskatchewan,CA,,,,bienfait,SK,false,false,,America/Regina
Big River,Saskatchewan,CA,,,,bigriver,SK,false,false,,America/Regina
Big Trout Lake,Ontario,CA,,,,bigtroutlake,ON,false,false,,America/Toronto
Big Valley,Alberta,CA,,,,bigvalley,AB,false,false,,America/Edmonton
Biggar,Saskatchewan,CA,,,,biggar,SK,false,false,,America/Regina
Binbrook,Ontario,CA,,,,binbrook,ON,false,false,,America/Toronto
Bindloss,Alberta,CA,,,,bindloss,AB,false,false,,America/Edmonton
Binscarth,Manitoba,CA,,,,binscarth,MB,false,false,,America/Winnipeg
Birch Hills,Saskatchewan,CA,,,,birchhills,SK,false,false,,America/Regina
Birch Island,Ontario,CA,,,,birchisland,ON,false,false,,America/Toronto
Birchy Bay,Newfoundland,CA,,,,birchybay,NL,false,false,,America/St_Johns
Birsay,Saskatchewan,CA,,,,birsay,SK,false,false,,America/Regina
Birtle,Manitoba,CA,,,,birtle,MB,false,false,,America/Winnipeg
Biscotasing,Ontario,CA,,,,biscotasing,ON,false,false,,America/Toronto
Bishopton,Quebec,CA,,,,bishopton,QC,false,false,,America/Montreal
Bishop`s Falls,Newfoundland,CA,,,,bishopsfalls,NL,false,false,,America/St_Johns
Bissett,Manitoba,CA,,,,bissett,MB,false,false,,America/Winnipeg
Black Creek,British Columbia,CA,,,,blackcreek,BC,false,false,,America/Vancouver
Black Diamond,Alberta,CA,,,,blackdiamond,AB,false,false,,America/Edmonton
Black Duck Cove,Newfoundland,CA,,,,blackduckcove,NL,false,false,,America/St_Johns
Black Lake,Quebec,CA,,,,blacklake,QC,false,false,,America/Montreal
Black Point,British Columbia,CA,,,,blackpoint,BC,false,false,,America/Vancouver
Black Tickle,Newfoundland,CA,,,,blacktickle,NL,false,false,,America/St_Johns
Blackfalds,Alberta,CA,,,,blackfalds,AB,false,false,,America/Edmonton
Blackie,Alberta,CA,,,,blackie,AB,false,false,,America/Edmonton
Blacks Harbour,New Brunswick,CA,,,,blacksharbour,NB,false,false,,America/Moncton
Blackstock,Ontario,CA,,,,blackstock,ON,false,false,,America/Toronto
Blackville,New Brunswick,CA,,,,blackville,NB,false,false,,America/Moncton
Blaine Lake,Saskatchewan,CA,,,,blainelake,SK,false,false,,America/Regina
Blainville,Quebec,CA,,,,blainville,QC,false,false,,America/Montreal
Blanc-Sablon,Quebec,CA,,,,blancsablon,QC,false,false,,America/Montreal
Blandford,Nova Scotia,CA,,,,blandford,NS,false,false,,America/Halifax
Blenheim,Ontario,CA,,,,blenheim,ON,false,false,,America/Toronto
Blezard Valley,Ontario,CA,,,,blezardvalley,ON,false,false,,America/Toronto
Blind River,Ontario,CA,,,,blindriver,ON,false,false,,America/Toronto
Bloomfield,Ontario,CA,,,,bloomfield,ON,false,false,,America/Toronto
Blue Ridge,Alberta,CA,,,,blueridge,AB,false,false,,America/Edmonton
Blue River,British Columbia,CA,,,,blueriver,BC,false,false,,America/Vancouver
Blyth,Ontario,CA,,,,blyth,ON,false,false,,America/Toronto
Bob Quinn Lake,British Columbia,CA,,,,bobquinnlake,BC,false,false,,America/Vancouver
Bobcaygeon,Ontario,CA,,,,bobcaygeon,ON,false,false,,America/Toronto
Boiestown,New Brunswick,CA,,,,boiestown,NB,false,false,,America/Moncton
Bois-des-Filion,Quebec,CA,,,,boisdesfilion,QC,false,false,,America/Montreal
Boisbriand,Quebec,CA,,,,boisbriand,QC,false,false,,America/Montreal
Boischatel,Quebec,CA,,,,boischatel,QC,false,false,,America/Montreal
Boisdale,Nova Scotia,CA,,,,boisdale,NS,false,false,,America/Halifax
Boissevain,Manitoba,CA,,,,boissevain,MB,false,false,,America/Winnipeg
Bolton,Ontario,CA,,,,bolton,ON,false,false,,America/Toronto
Bon Accord,Alberta,CA,,,,bonaccord,AB,false,false,,America/Edmonton
Bonanza,Alberta,CA,,,,bonanza,AB,false,false,,America/Edmonton
Bonaventure,Quebec,CA,,,,bonaventure,QC,false,false,,America/Montreal
Bonavista,Newfoundland,CA,,,,bonavista,NL,false,false,,America/St_Johns
Bonfield,Ontario,CA,,,,bonfield,ON,false,false,,America/Toronto
Bonne-Esperance,Quebec,CA,,,,bonneesperance,QC,false,false,,America/Montreal
Bonnyville,Alberta,CA,,,,bonnyville,AB,false,false,,America/Edmonton
Borden,Ontario,CA,,,,borden,ON,false,false,,America/Toronto
Borden,Prince Edward Island,CA,,,,borden,PE,false,false,,America/Halifax
Borden,Saskatchewan,CA,,,,borden,SK,false,false,,America/Regina
Boston Bar,British Columbia,CA,,,,bostonbar,BC,false,false,,America/Vancouver
Boswell,British Columbia,CA,,,,boswell,BC,false,false,,America/Vancouver
Bothwell,Ontario,CA,,,,bothwell,ON,false,false,,America/Toronto
Botwood,Newfoundland,CA,,,,botwood,NL,false,false,,America/St_Johns
Boucherville,Quebec,CA,,,,boucherville,QC,false,false,,America/Montreal
Bouchette,Quebec,CA,,,,bouchette,QC,false,false,,America/Montreal
Bouctouche,New Brunswick,CA,,,,bouctouche,NB,false,false,,America/Moncton
Boularderie,Nova Scotia,CA,,,,boularderie,NS,false,false,,America/Halifax
Bourget,Ontario,CA,,,,bourget,ON,false,false,,America/Toronto
Bow Island,Alberta,CA,,,,bowisland,AB,false,false,,America/Edmonton
Bowden,Alberta,CA,,,,bowden,AB,false,false,,America/Edmonton
Bowen Island,British Columbia,CA,,,,bowenisland,BC,false,false,,America/Vancouver
Bowmanville,Ontario,CA,,,,bowmanville,ON,false,false,,America/Toronto
Bowser,British Columbia,CA,,,,bowser,BC,false,false,,America/Vancouver
Boyd`s Cove,Newfoundland,CA,,,,boydscove,NL,false,false,,America/St_Johns
Boyle,Alberta,CA,,,,boyle,AB,false,false,,America/Edmonton
Bracebridge,Ontario,CA,,,,bracebridge,ON,false,false,,America/Toronto
Bradford,Ontario,CA,,,,bradford,ON,false,false,,America/Toronto
Bradford West Gwillimbury,Ontario,CA,,,,bradfordwestgwillimbury,ON,false,false,,America/Toronto
Braeside,Ontario,CA,,,,braeside,ON,false,false,,America/Toronto
Bragg Creek,Alberta,CA,,,,braggcreek,AB,false,false,,America/Edmonton
Brampton,Ontario,CA,,,,brampton,ON,false,false,,America/Toronto
Branch,Newfoundland,CA,,,,branch,NL,false,false,,America/St_Johns
Brandon,Manitoba,CA,,,,brandon,MB,false,false,,America/Winnipeg
Brantford,Ontario,CA,,,,brantford,ON,false,false,,America/Toronto
Breakeyville,Quebec,CA,,,,breakeyville,QC,false,false,,America/Montreal
Brechin,Ontario,CA,,,,brechin,ON,false,false,,America/Toronto
Bredenbury,Saskatchewan,CA,,,,bredenbury,SK,false,false,,America/Regina
Brent`s Cove,Newfoundland,CA,,,,brentscove,NL,false,false,,America/St_Johns
Breslau,Ontario,CA,,,,breslau,ON,false,false,,America/Toronto
Breton,Alberta,CA,,,,breton,AB,false,false,,America/Edmonton
Bridge Lake,British Columbia,CA,,,,bridgelake,BC,false,false,,America/Vancouver
Bridgenorth,Ontario,CA,,,,bridgenorth,ON,false,false,,America/Toronto
Bridgetown,Nova Scotia,CA,,,,bridgetown,NS,false,false,,America/Halifax
Bridgewater,Nova Scotia,CA,,,,bridgewater,NS,false,false,,America/Halifax
Briercrest,Saskatchewan,CA,,,,briercrest,SK,false,false,,America/Regina
Brigden,Ontario,CA,,,,brigden,ON,false,false,,America/Toronto
Brigham,Quebec,CA,,,,brigham,QC,false,false,,America/Montreal
Bright,Ontario,CA,,,,bright,ON,false,false,,America/Toronto
Brighton,Ontario,CA,,,,brighton,ON,false,false,,America/Toronto
Brights Grove,Ontario,CA,,,,brightsgrove,ON,false,false,,America/Toronto
Brigus,Newfoundland,CA,,,,brigus,NL,false,false,,America/St_Johns
Britannia Beach,British Columbia,CA,,,,britanniabeach,BC,false,false,,America/Vancouver
Britt,Ontario,CA,,,,britt,ON,false,false,,America/Toronto
Broadview,Saskatchewan,CA,,,,broadview,SK,false,false,,America/Regina
Brochet,Manitoba,CA,,,,brochet,MB,false,false,,America/Winnipeg
Brock,Saskatchewan,CA,,,,brock,SK,false,false,,America/Regina
Brocket,Alberta,CA,,,,brocket,AB,false,false,,America/Edmonton
Brockville,Ontario,CA,,,,brockville,ON,false,false,,America/Toronto
Brome,Quebec,CA,,,,brome,QC,false,false,,America/Montreal
Bromont,Quebec,CA,,,,bromont,QC,false,false,,America/Montreal
Bromptonville,Quebec,CA,,,,bromptonville,QC,false,false,,America/Montreal
Brookdale,Manitoba,CA,,,,brookdale,MB,false,false,,America/Winnipeg
Brookfield,Nova Scotia,CA,,,,brookfield,NS,false,false,,America/Halifax
